date dd.mm.yyyy,number,
28.11.2020,2 13 27 28 35 47,
05.12.2020,4 7 8 14 33 47,
12.12.2020,11 13 19 20 27 30,
19.12.2020,9 32 33 34 38 43,
26.12.2020,9 18 24 37 40 45,
02.01.2021,12 18 27 32 44 45,
09.01.2021,3 11 23 25 34 44,
16.01.2021,12 16 17 22 28 39,
23.01.2021,1 3 5 25 28 37,
30.01.2021,6 11 13 31 34 37,
06.02.2021,14 16 17 21 25 48,
13.02.2021,22 30 32 37 42 44,
20.02.2021,6 26 32 36 40 45,
27.02.2021,4 13 30 37 43 47,
06.03.2021,1 3 6 16 19 27,
13.03.2021,3 8 19 24 25 47,
20.03.2021,21 24 26 38 40 48,
27.03.2021,9 10 16 17 34 36,
03.04.2021,2 9 10 15 19 41,
10.04.2021,1 7 12 33 41 46,
17.04.2021,1 2 16 18 36 45,
24.04.2021,15 21 24 37 38 45,
01.05.2021,5 9 13 34 47 48,
08.05.2021,2 8 27 30 31 47,
15.05.2021,7 17 24 31 32 44,
22.05.2021,10 23 24 30 35 49,
29.05.2021,6 13 14 15 18 47,
05.06.2021,4 18 20 21 29 36,
12.06.2021,3 15 18 33 38 40,
19.06.2021,7 23 26 27 44 48,
26.06.2021,2 19 27 43 47 49,
03.07.2021,2 33 35 36 40 47,
10.07.2021,17 19 37 38 39 49,
17.07.2021,7 12 31 35 39 43,
24.07.2021,19 29 30 40 41 43,
31.07.2021,20 23 28 35 43 44,
07.08.2021,1 12 22 23 41 48,
14.08.2021,3 5 7 20 24 48,
21.08.2021,9 10 13 20 43 46,
28.08.2021,12 26 33 38 47 49,
04.09.2021,1 7 17 25 35 43,
11.09.2021,10 21 31 35 37 46,
18.09.2021,3 6 9 11 23 43,
25.09.2021,9 11 21 31 32 34,
02.10.2021,7 15 18 20 22 40,
09.10.2021,2 17 40 41 42 45,
16.10.2021,1 5 6 10 39 44,
23.10.2021,6 11 21 32 33 46,
30.10.2021,8 23 24 31 47,
06.11.2021,4 26 36 37 38,
13.11.2021,3 8 14 30 46,
20.11.2021,5 14 25 30 38,
27.11.2021,2 22 25 34 42,
04.12.2021,7 19 33 34 38,
11.12.2021,2 5 19 44 48,
18.12.2021,8 13 21 31 47,
25.12.2021,1 33 40 45 46,
01.01.2022,2 14 40 43 45,
08.01.2022,2 9 28 32 49,
15.01.2022,4 16 17 22 29,
22.01.2022,1 3 20 21 36,
29.01.2022,17 29 42 43 44,
05.02.2022,9 14 25 34 44,
12.02.2022,17 21 30 35 36,
19.02.2022,14 20 37 43 44,
26.02.2022,3 16 19 23 30,
05.03.2022,1 16 35 42 44,
12.03.2022,4 9 26 36 38,
19.03.2022,5 11 29 42 45,
26.03.2022,14 37 42 44 47,
02.04.2022,4 10 25 29 30,
09.04.2022,2 7 12 44 48,
16.04.2022,12 15 25 31 47,
23.04.2022,5 12 14 22 27,
30.04.2022,8 9 18 34 40,
07.05.2022,15 26 32 40 48,
11.06.2022,6 22 23 39 48,
21.05.2022,1 24 29 31 46,
28.05.2022,5 10 14 33 37,
04.06.2022,6 11 13 17 19,
11.06.2022,6 22 23 39 48,
18.06.2022,GUESS,6 18 28 38 42
,,5 16 25 38 43
,,7 13 28 38 44
